Member_ID,FIRST_NAME,LAST_NAME,GENDER,BIRTHDATE,Age_Range,Generation,MOBILE_NO,UUID,Total_point,FirstPurchaseDate
M000025,Elizabeth,Miller,F,1961-06-10,55+,Boomer,0898834863,75319931-3536,3111,2023-04-02
M000026,Anthony,Garcia,M,2003-02-14,18-24,Gen Z,0888406989,73993471-9238,8701,2022-01-17
M000027,David,Johnson,M,1968-02-14,55+,Gen X,0841568532,64193837-2964,9333,2022-10-20
M000028,Daniel,Johnson,M,1979-04-15,45-54,Gen X,0888339168,85863473-9565,5183,2023-04-22
M000029,Patricia,Jones,F,1981-01-08,45-54,Millennial,0896637649,50264926-8491,5180,2021-01-15
M000030,Michael,Rodriguez,M,1992-06-27,25-34,Millennial,0845594597,27778019-6718,1127,2022-06-10
M000031,Thomas,Anderson,M,1971-03-24,45-54,Gen X,0850603163,92097999-9666,128,2025-05-22
M000032,David,Jones,M,1999-01-17,25-34,Gen Z,0884252420,30863865-5462,4616,2025-04-23
M000033,Patricia,Hernandez,F,1965-11-05,55+,Gen X,0877834855,75569635-5114,832,2021-11-14
M000034,Mary,Smith,F,1985-01-08,35-44,Millennial,0895511909,45159040-3647,7239,2025-12-14
M000035,Michael,Johnson,M,1962-01-04,55+,Boomer,0883227889,14835614-7049,9543,2025-03-14
M000036,John,Jones,M,1983-02-24,35-44,Millennial,0858024342,38195995-5088,1684,2023-09-28
M000037,Nancy,Lopez,F,1996-11-11,25-34,Millennial,0831810617,33763566-7755,406,2022-12-11
M000038,Margaret,Hernandez,F,1990-10-29,35-44,Millennial,0831367172,24508349-7267,634,2024-04-07
M000039,Susan,Jones,F,1991-11-20,25-34,Millennial,0813176186,98588154-4164,6528,2023-05-28
M000040,Mark,Jones,M,1983-04-22,35-44,Millennial,0878371272,63643924-9785,5425,2021-02-09
M000041,Daniel,Jones,M,2004-01-15,18-24,Gen Z,0890070438,68326160-6663,5139,2024-10-17
M000042,Richard,Martinez,M,1993-11-03,25-34,Millennial,0815957459,68526649-1027,8518,2025-11-24
M000043,William,Miller,M,2001-04-05,18-24,Gen Z,0854318698,93638503-6143,2041,2023-09-10
M000044,Susan,Miller,F,1961-10-21,55+,Boomer,0884411983,27084279-4143,6888,2024-11-24
M000045,Daniel,Martinez,M,1986-08-20,35-44,Millennial,0883542887,10054484-5978,4700,2022-07-26
M000046,Sarah,Davis,F,1977-04-06,45-54,Gen X,0838682516,78608612-8752,2780,2021-05-17
M000047,Jennifer,Anderson,F,1990-04-04,35-44,Millennial,0851663795,40150759-4262,2414,2021-01-08
M000048,Nancy,Anderson,F,2001-07-21,18-24,Gen Z,0865625330,94525678-4185,6291,2024-07-08
M000049,Matthew,Lopez,M,2006-01-15,18-24,Gen Z,0867062156,39372360-3881,8486,2024-01-18
M000050,Michael,Davis,M,1997-07-18,25-34,Gen Z,0899600766,81287314-6198,7251,2025-12-17
M000051,Karen,Davis,F,1995-07-13,25-34,Millennial,0870407340,44788100-5050,4543,2025-08-21
M000052,Robert,Davis,M,2001-03-11,18-24,Gen Z,0848349783,41473195-5451,5502,2023-09-03
M000053,David,Brown,M,1981-03-26,35-44,Millennial,0830509175,38716269-2052,6797,2024-06-18
M000054,Jessica,Smith,F,1992-08-10,25-34,Millennial,0862274692,88393811-1320,9432,2024-08-01
M000055,Elizabeth,Wilson,F,1981-08-14,35-44,Millennial,0882238741,83300637-4613,7999,2022-05-14
M000056,Mary,Miller,F,1984-04-07,35-44,Millennial,0864266464,32151928-8657,2091,2025-09-01
M000057,Nancy,Martinez,F,1964-03-07,55+,Boomer,0821267237,96268397-8022,2223,2024-03-02
M000058,Jessica,Garcia,F,1992-07-24,25-34,Millennial,0853868501,55298556-7211,4558,2024-05-27
M000059,Thomas,Smith,M,1972-02-21,45-54,Gen X,0856970882,40094589-2124,659,2021-04-07
M000060,Daniel,Williams,M,1991-01-09,35-44,Millennial,0873560289,99853245-2874,9240,2022-08-23
M000061,Margaret,Garcia,F,1995-05-07,25-34,Millennial,0891503378,25372341-3683,5096,2021-10-01
M000062,Nancy,Hernandez,F,1981-08-25,35-44,Millennial,0836619372,20200074-4978,1669,2023-11-20
M000063,Mark,Martinez,M,2003-09-15,18-24,Gen Z,0881503856,67495923-7071,1129,2025-11-11
M000064,Richard,Anderson,M,1975-01-23,45-54,Gen X,0868186525,58612055-8532,2506,2024-03-24
M000065,Nancy,Wilson,F,1971-07-15,45-54,Gen X,0872394301,68461818-5397,5280,2022-02-09
M000066,Patricia,Wilson,F,1976-05-30,45-54,Gen X,0891917334,99682738-7209,5511,2021-08-28
M000067,Linda,Davis,F,1992-09-13,25-34,Millennial,0844675473,55679506-5581,9767,2023-09-01
M000068,Michael,Brown,M,1979-07-10,45-54,Gen X,0884514489,42255732-8800,8041,2024-01-03
M000069,Patricia,Miller,F,1961-11-17,55+,Boomer,0851098277,99115205-7046,7753,2025-09-12
M000070,Betty,Rodriguez,F,1984-09-16,35-44,Millennial,0870900658,46361787-6023,4118,2022-02-24
M000071,William,Johnson,M,1971-03-31,45-54,Gen X,0834850391,35708194-4545,7933,2023-12-19
M000072,Jennifer,Anderson,F,1993-10-13,25-34,Millennial,0840532273,58436637-3939,4952,2021-12-18
M000073,Robert,Smith,M,2002-06-01,18-24,Gen Z,0849209916,26948946-9042,1680,2021-10-10
M000074,Sarah,Davis,F,1984-12-11,35-44,Millennial,0816895666,43887075-8827,1869,2021-07-16
M000075,Daniel,Hernandez,M,1963-02-22,55+,Boomer,0830364454,30024960-5978,1395,2022-02-18
M000076,Nancy,Martinez,F,1966-11-25,55+,Gen X,0880138498,61053474-8381,7253,2023-10-14
M000077,Nancy,Martinez,F,2002-05-03,18-24,Gen Z,0823318904,37888820-4457,4335,2021-03-08
M000078,Christopher,Johnson,M,1996-03-11,25-34,Millennial,0864830300,70465583-8699,4771,2021-04-10
M000079,Betty,Anderson,F,1977-02-09,45-54,Gen X,0841329612,45507920-4241,6965,2021-09-08
M000080,Robert,Anderson,M,1997-02-04,25-34,Gen Z,0818004482,32269779-6039,9749,2025-05-15
M000081,Thomas,Lopez,M,1986-03-22,35-44,Millennial,0864023778,46540265-9199,8847,2024-08-03
M000082,Richard,Lopez,M,1985-05-10,35-44,Millennial,0843603811,13471527-2496,3750,2025-10-01
M000083,Nancy,Smith,F,1994-07-16,25-34,Millennial,0879654147,97444123-8245,4557,2022-10-14
M000084,Jennifer,Davis,F,1983-08-19,35-44,Millennial,0854735895,53091709-2713,2634,2023-07-23
M000085,Elizabeth,Hernandez,F,1980-06-08,45-54,Gen X,0814925405,71045700-2442,5153,2023-06-04
M000086,Karen,Anderson,F,2005-04-08,18-24,Gen Z,0882825679,72005415-7770,888,2022-09-12
M000087,Lisa,Davis,F,2002-11-27,18-24,Gen Z,0845843681,83715012-3146,4719,2024-12-16
M000088,John,Hernandez,M,1967-11-18,55+,Gen X,0831257157,51708177-1224,9048,2024-02-08
M000089,Thomas,Johnson,M,1965-01-01,55+,Gen X,0876890827,49172995-9337,4479,2024-08-16
M000090,Thomas,Rodriguez,M,1996-08-28,25-34,Millennial,0835583290,90447099-9327,2236,2021-05-25
M000091,Susan,Wilson,F,1973-11-02,45-54,Gen X,0810344303,47962005-5891,9616,2025-11-16
M000092,Thomas,Rodriguez,M,1975-09-23,45-54,Gen X,0854619335,84077101-9903,6180,2024-06-28
M000093,Anthony,Brown,M,1969-09-04,55+,Gen X,0841348220,65133300-1715,5213,2024-12-26
M000094,Jessica,Hernandez,F,1965-01-02,55+,Gen X,0876481885,14968688-3068,8229,2025-06-28
M000095,Thomas,Johnson,M,1972-07-28,45-54,Gen X,0812059919,29348212-7717,2529,2021-08-26
M000096,Susan,Martinez,F,1961-08-30,55+,Boomer,0897219599,20779739-6383,8742,2024-06-21
M000097,Karen,Smith,F,1967-02-13,55+,Gen X,0841510328,94712997-5708,3727,2021-07-04
M000098,Thomas,Williams,M,1961-10-19,55+,Boomer,0813885234,16172803-6314,919,2023-06-12
M000099,Linda,Brown,F,1972-08-20,45-54,Gen X,0885957578,34166826-3785,2868,2021-10-28
M000100,Nancy,Hernandez,F,1990-07-03,35-44,Millennial,0888270025,29208935-4804,7555,2023-08-09
M000101,Mark,Davis,M,1987-04-03,35-44,Millennial,0883363160,31203129-2210,7237,2023-10-10
M000102,Betty,Jones,F,1976-10-14,45-54,Gen X,0836738452,61632653-8916,1747,2022-07-19
M000103,Nancy,Jones,F,1961-10-21,55+,Boomer,0812944682,98346110-7484,4497,2021-10-28
M000104,Daniel,Lopez,M,1974-10-23,45-54,Gen X,0840885967,91478884-6772,3588,2022-10-09
M000105,Matthew,Johnson,M,1965-04-24,55+,Gen X,0815291208,51464269-8222,546,2025-06-24
M000106,Michael,Jones,M,1985-08-15,35-44,Millennial,0833574011,36950221-3165,8837,2023-09-17
M000107,Linda,Jones,F,1975-10-18,45-54,Gen X,0855461591,25457816-8673,1233,2022-04-28
M000108,Margaret,Rodriguez,F,1983-01-29,35-44,Millennial,0862958901,11868130-5332,8791,2021-08-12
M000109,Nancy,Miller,F,1965-09-11,55+,Gen X,0824541967,41383044-8724,410,2025-09-11
M000110,Matthew,Johnson,M,1965-07-26,55+,Gen X,0850559278,97139443-7689,1911,2022-01-02
M000111,Sarah,Johnson,F,1999-11-12,25-34,Gen Z,0882148284,28208520-7367,7432,2023-11-24
M000112,Nancy,Lopez,F,1996-08-12,25-34,Millennial,0897902129,23290458-9017,6686,2023-01-23
M000113,Patricia,Davis,F,1977-11-17,45-54,Gen X,0858678896,23335151-7018,8920,2023-01-13
M000114,Patricia,Johnson,F,1977-01-30,45-54,Gen X,0898955314,38468360-1349,828,2023-04-05
M000115,Michael,Anderson,M,1970-12-03,55+,Gen X,0888703005,38984499-4817,5383,2022-10-01
M000116,Linda,Williams,F,1971-11-11,45-54,Gen X,0833420607,24754064-1422,2159,2021-06-26
M000117,Daniel,Garcia,M,2004-12-11,18-24,Gen Z,0845617024,17032877-3076,6897,2025-02-24
M000118,Thomas,Davis,M,1982-06-27,35-44,Millennial,0889680504,24636981-8405,8254,2022-10-02
M000119,Sarah,Hernandez,F,2005-02-07,18-24,Gen Z,0874287863,63904155-7984,1768,2024-12-15
M000120,Michael,Garcia,M,1968-01-04,55+,Gen X,0818815720,26937148-5505,9590,2025-12-11
M000121,Nancy,Rodriguez,F,1987-07-26,35-44,Millennial,0877853916,91259008-8048,1624,2021-11-21
M000122,Richard,Davis,M,1991-08-15,25-34,Millennial,0855490631,70867592-7532,6815,2021-06-14
M000123,Lisa,Jones,F,1982-12-28,35-44,Millennial,0873655158,19010480-2494,1398,2021-07-04
M000124,Margaret,Williams,F,1971-02-17,55+,Gen X,0888714010,85374852-6400,2002,2024-06-28
M000125,Betty,Smith,F,1987-05-12,35-44,Millennial,0851936181,57197152-2697,9468,2025-04-05
M000126,Patricia,Anderson,F,1999-09-14,25-34,Gen Z,0884660688,59333209-2882,4564,2025-04-26
M000127,Karen,Wilson,F,1966-05-10,55+,Gen X,0896261621,84724345-1430,9977,2023-01-06
M000128,Betty,Wilson,F,1986-09-23,35-44,Millennial,0857113566,10819505-3972,2347,2025-11-13
M000129,David,Lopez,M,1966-03-05,55+,Gen X,0822315507,81200181-4524,6163,2024-08-11
M000130,William,Jones,M,1985-05-29,35-44,Millennial,0890023800,21402740-1861,2549,2022-10-02
M000131,Robert,Davis,M,1963-08-16,55+,Boomer,0875184410,91480362-8242,6785,2023-04-25
M000132,William,Miller,M,1998-10-18,25-34,Gen Z,0889609131,75314742-9633,5053,2021-04-13
M000133,John,Brown,M,1986-11-27,35-44,Millennial,0828419343,44295247-5742,5375,2021-01-16
M000134,Linda,Williams,F,1981-06-17,35-44,Millennial,0840884937,77144075-6802,1180,2024-12-02
M000135,Mary,Davis,F,2001-10-02,18-24,Gen Z,0887277086,67617561-7626,6843,2023-02-13
M000136,William,Williams,M,1966-07-28,55+,Gen X,0858567046,21828592-8155,1734,2022-07-19
M000137,Karen,Johnson,F,1980-10-09,45-54,Gen X,0855568701,39738898-6456,2754,2021-09-21
M000138,Christopher,Rodriguez,M,1993-09-16,25-34,Millennial,0857123808,96629889-3419,3871,2021-03-09
M000139,David,Martinez,M,1996-04-11,25-34,Millennial,0820113745,33776150-9095,7601,2025-10-15
M000140,Lisa,Garcia,F,1996-07-30,25-34,Millennial,0819165226,72937522-8245,4961,2023-10-02
M000141,Karen,Johnson,F,1986-07-22,35-44,Millennial,0870654852,15047559-1932,6041,2023-02-21
M000142,Daniel,Martinez,M,1973-09-03,45-54,Gen X,0872104107,87890494-1672,7368,2025-11-07
M000143,Nancy,Davis,F,1973-12-31,45-54,Gen X,0818304547,70468188-2695,5626,2021-09-21
M000144,John,Brown,M,1960-08-09,55+,Boomer,0868978194,80339290-9564,9991,2022-06-12
M000145,Jessica,Miller,F,1984-04-02,35-44,Millennial,0890246882,17028380-6482,1079,2023-02-18
M000146,Elizabeth,Jones,F,1963-05-17,55+,Boomer,0830182766,54743095-2335,9547,2022-06-10
M000147,Linda,Martinez,F,1961-02-06,55+,Boomer,0851551377,85017250-7171,5381,2022-11-23
M000148,Matthew,Hernandez,M,1978-06-30,45-54,Gen X,0858563745,12446861-6940,5060,2022-04-11
M000149,Patricia,Brown,F,1997-12-23,25-34,Gen Z,0820356922,49700543-2657,8317,2025-12-17
M000150,Matthew,Garcia,M,1967-01-12,55+,Gen X,0890161060,60562485-3527,2658,2022-12-25
M000151,Anthony,Davis,M,2003-08-13,18-24,Gen Z,0858895439,41880763-8277,4668,2024-04-18
M000152,Robert,Wilson,M,1975-12-09,45-54,Gen X,0859370777,86560394-8218,7564,2023-07-17
M000153,Linda,Anderson,F,1993-05-08,25-34,Millennial,0828575536,43554863-1854,7873,2023-09-04
M000154,Robert,Johnson,M,1995-10-25,25-34,Millennial,0870306604,78901038-3414,7167,2021-04-27
M000155,Susan,Smith,F,1980-02-18,45-54,Gen X,0863211150,77378254-7126,3862,2024-02-12
M000156,John,Garcia,M,1999-03-12,25-34,Gen Z,0897236246,55001909-3392,2254,2021-05-27
M000157,Betty,Anderson,F,1997-03-16,25-34,Gen Z,0872962895,70210270-1086,1298,2021-05-07
M000158,Christopher,Lopez,M,1967-06-23,55+,Gen X,0866808292,24923247-5720,3893,2023-02-02
M000159,Richard,Hernandez,M,1966-07-29,55+,Gen X,0818429833,24879094-9189,9776,2025-01-21
M000160,Anthony,Williams,M,1987-08-08,35-44,Millennial,0810209961,92518345-6780,3941,2025-07-06
M000161,Christopher,Garcia,M,2001-06-15,18-24,Gen Z,0883025444,78092370-9316,9079,2021-07-28
M000162,Mary,Hernandez,F,1981-09-06,35-44,Millennial,0844044361,12179995-6850,1106,2023-04-24
M000163,Mark,Martinez,M,1985-01-06,35-44,Millennial,0815950635,57284777-9945,5546,2022-11-15
M000164,Lisa,Williams,F,1998-02-08,25-34,Gen Z,0871428713,14963880-5807,3302,2021-04-02
M000165,Elizabeth,Rodriguez,F,1980-06-11,45-54,Gen X,0873538641,43999198-1599,3131,2023-06-28
M000166,Matthew,Garcia,M,1989-01-10,35-44,Millennial,0859394697,68646621-7553,7204,2024-06-06
M000167,Betty,Davis,F,1982-06-24,35-44,Millennial,0845798645,21087928-7955,1293,2024-10-27
M000168,Christopher,Jones,M,1986-01-22,35-44,Millennial,0820746667,54012664-5843,5021,2024-10-23
M000169,Linda,Lopez,F,1977-09-19,45-54,Gen X,0870012727,15684813-6776,7126,2023-11-26
M000170,Michael,Hernandez,M,1965-08-25,55+,Gen X,0858762794,78865239-3621,510,2022-10-22
M000171,Mary,Williams,F,2001-11-11,18-24,Gen Z,0896592295,59167775-6933,6272,2025-01-20
M000172,Matthew,Davis,M,1982-09-07,35-44,Millennial,0869584522,20319387-3255,8674,2023-07-11
M000173,Patricia,Johnson,F,2004-12-05,18-24,Gen Z,0876980546,79490594-7340,9202,2021-05-25
M000174,Betty,Davis,F,1992-05-04,25-34,Millennial,0848329479,75927774-4279,2009,2022-02-15
M000175,Anthony,Davis,M,2000-03-27,25-34,Gen Z,0852894344,99635939-6692,1063,2025-09-10
M000176,Linda,Lopez,F,1960-03-28,55+,Boomer,0895590648,33366099-6922,8335,2022-02-07
M000177,James,Wilson,M,1975-03-05,45-54,Gen X,0858438711,84359498-7044,7657,2025-03-20
M000178,Michael,Jones,M,1980-07-14,45-54,Gen X,0880557676,65135987-7708,9419,2021-03-11
M000179,Thomas,Davis,M,1962-06-30,55+,Boomer,0856239991,27224779-3981,2114,2024-09-28
M000180,Michael,Rodriguez,M,1996-10-08,25-34,Millennial,0832099899,31738837-6286,3694,2023-09-10
M000181,Robert,Brown,M,1965-06-11,55+,Gen X,0846836194,26800072-5961,8740,2021-09-21
M000182,Daniel,Martinez,M,1996-12-15,25-34,Millennial,0898413629,93816177-6531,9234,2021-01-03
M000183,Matthew,Wilson,M,1969-11-04,55+,Gen X,0897393186,38294221-7825,496,2024-11-18
M000184,Lisa,Jones,F,1975-11-13,45-54,Gen X,0864504816,49920898-8430,1195,2021-03-15
M000185,Sarah,Davis,F,1992-09-20,25-34,Millennial,0891424562,29282885-6121,5231,2023-07-05
M000186,Karen,Rodriguez,F,1999-09-30,25-34,Gen Z,0842445506,72608888-3007,4382,2024-04-05
M000187,John,Jones,M,1981-05-05,35-44,Millennial,0866121095,43322272-3616,5364,2025-12-11
M000188,Mark,Williams,M,1974-06-28,45-54,Gen X,0872654864,76942394-6055,8148,2021-02-13
M000189,Patricia,Brown,F,1968-09-20,55+,Gen X,0816530784,16783418-5609,8108,2025-11-22
M000190,Elizabeth,Rodriguez,F,2006-01-14,18-24,Gen Z,0867838146,27976443-5333,5992,2024-06-02
M000191,Mary,Martinez,F,1970-12-10,55+,Gen X,0858657117,84252324-5728,1204,2024-09-15
M000192,Nancy,Hernandez,F,1967-01-19,55+,Gen X,0827268907,22976369-7453,6114,2023-09-12
M000193,James,Martinez,M,1973-08-25,45-54,Gen X,0877119320,15402922-1742,637,2022-12-11
M000194,Karen,Davis,F,1996-05-06,25-34,Millennial,0879190008,28761086-6373,5218,2022-07-20
M000195,Nancy,Garcia,F,1973-07-01,45-54,Gen X,0881449442,75746104-5911,7780,2021-06-11
M000196,Richard,Martinez,M,1986-03-28,35-44,Millennial,0894457912,13576520-8775,4350,2025-10-08
M000197,Daniel,Davis,M,1995-06-18,25-34,Millennial,0894426338,93179531-7229,2421,2022-01-19
M000198,James,Smith,M,1977-10-08,45-54,Gen X,0866207740,30324759-7765,3340,2024-09-25
M000199,Betty,Lopez,F,2002-03-15,18-24,Gen Z,0828533117,79616482-4397,9189,2023-11-16
M000200,Susan,Williams,F,1976-06-18,45-54,Gen X,0855946354,83319550-6804,4331,2025-08-07
M000201,Robert,Rodriguez,M,1986-11-20,35-44,Millennial,0849945150,48789478-4396,8011,2023-08-12
M000202,Elizabeth,Johnson,F,1969-04-07,55+,Gen X,0882905845,60961690-7464,5654,2022-05-02
M000203,Betty,Johnson,F,1983-08-02,35-44,Millennial,0898043078,44419327-8849,3505,2022-09-09
M000204,Linda,Johnson,F,1966-05-24,55+,Gen X,0842115895,42542167-1831,8700,2022-11-08
M000205,Michael,Miller,M,1984-07-17,35-44,Millennial,0823494908,28450513-1084,9016,2022-07-21
M000206,Sarah,Hernandez,F,1993-10-17,25-34,Millennial,0853106399,48307798-1969,1465,2025-04-18
M000207,David,Miller,M,1995-02-23,25-34,Millennial,0863283709,76489301-4052,4742,2021-01-10
M000208,William,Jones,M,1976-04-23,45-54,Gen X,0882920556,80372842-9092,2198,2025-08-09
M000209,Mark,Johnson,M,1984-12-22,35-44,Millennial,0871594457,97011385-5215,3050,2021-12-11
M000210,Nancy,Hernandez,F,1993-12-14,25-34,Millennial,0892000924,95728324-7643,7007,2025-06-03
M000211,Lisa,Johnson,F,1995-01-01,25-34,Millennial,0874082804,53433080-5064,111,2023-07-08
M000212,Margaret,Jones,F,1984-10-12,35-44,Millennial,0888176558,86890296-1187,4285,2023-12-08
M000213,Matthew,Johnson,M,1976-10-11,45-54,Gen X,0831436829,64414096-9233,5095,2021-11-10
M000214,Nancy,Brown,F,1992-01-05,25-34,Millennial,0874180488,30560218-8454,9924,2023-07-23
M000215,Margaret,Rodriguez,F,1963-11-30,55+,Boomer,0843214247,89968863-2341,8609,2024-09-23
M000216,Jennifer,Martinez,F,1999-02-09,25-34,Gen Z,0883504237,77845324-4312,9383,2025-03-06
M000217,Karen,Davis,F,1998-03-29,25-34,Gen Z,0837568520,88268756-9008,1489,2025-08-26
M000218,Thomas,Williams,M,1973-08-18,45-54,Gen X,0871310453,85686878-1945,9155,2024-11-26
M000219,Betty,Smith,F,1980-11-06,45-54,Gen X,0810404729,39246218-2196,742,2024-06-23
M000220,Christopher,Smith,M,2001-07-13,18-24,Gen Z,0814259382,48532662-7698,2948,2022-11-24
M000221,Susan,Miller,F,1977-09-05,45-54,Gen X,0860418290,20770971-9835,2178,2023-02-06
M000222,Karen,Williams,F,1992-03-12,25-34,Millennial,0813051483,50045602-8585,8920,2024-09-13
M000223,James,Davis,M,1983-12-27,35-44,Millennial,0846997080,35297417-2848,527,2024-10-25
M000224,James,Brown,M,2002-01-19,18-24,Gen Z,0889717834,14506531-8314,9794,2021-04-24
M000225,Richard,Davis,M,1991-06-11,25-34,Millennial,0839161379,17575790-3295,8255,2023-04-27
M000226,Nancy,Martinez,F,1962-10-08,55+,Boomer,0841796721,50502136-3347,8540,2022-07-10
M000227,Mary,Rodriguez,F,1968-12-20,55+,Gen X,0894019376,67337891-9120,768,2023-11-22
M000228,Margaret,Rodriguez,F,1985-03-24,35-44,Millennial,0865878146,64795619-3444,4913,2024-03-25
M000229,Patricia,Anderson,F,1991-10-12,25-34,Millennial,0829374563,72146184-1944,9214,2024-07-18
M000230,Richard,Brown,M,1989-11-30,35-44,Millennial,0854327148,96799390-2295,7369,2023-02-18
M000231,John,Jones,M,1981-04-06,35-44,Millennial,0891197624,90922827-1647,1192,2022-10-24
M000232,Thomas,Brown,M,1984-10-11,35-44,Millennial,0812058055,38428357-4113,1922,2024-04-23
M000233,Richard,Brown,M,1970-10-06,55+,Gen X,0847991562,61091554-8639,8743,2023-05-09
M000234,Karen,Davis,F,1977-01-26,45-54,Gen X,0873013937,52980983-4328,6073,2023-07-02
M000235,Anthony,Williams,M,2004-10-28,18-24,Gen Z,0884264220,88387434-7841,4836,2022-04-11
M000236,Richard,Martinez,M,1990-07-02,35-44,Millennial,0883905989,97859993-6530,4216,2024-12-21
M000237,Sarah,Williams,F,1983-12-20,35-44,Millennial,0828784915,83356206-9000,3015,2025-11-02
M000238,Michael,Anderson,M,1964-02-25,55+,Boomer,0810856822,65350347-3252,3791,2021-12-05
M000239,James,Rodriguez,M,1976-09-07,45-54,Gen X,0818113477,92924441-8916,7993,2021-01-18
M000240,Mary,Smith,F,1972-10-29,45-54,Gen X,0881905550,48478684-1280,8228,2024-03-04
M000241,Christopher,Williams,M,1990-12-06,35-44,Millennial,0893185576,80659726-5135,5807,2023-07-03
M000242,Jessica,Davis,F,1969-11-15,55+,Gen X,0840314047,50261914-2320,519,2021-07-13
M000243,Karen,Davis,F,2002-04-19,18-24,Gen Z,0811268380,33002714-2354,8189,2024-11-26
M000244,Nancy,Anderson,F,1999-06-15,25-34,Gen Z,0815711200,40838737-4463,9286,2024-05-02
M000245,Matthew,Jones,M,1971-06-04,45-54,Gen X,0898329927,14416002-3938,5152,2021-04-19
M000246,Mark,Anderson,M,1960-08-30,55+,Boomer,0820326375,50168264-3661,9239,2022-10-27
M000247,Lisa,Rodriguez,F,1984-08-31,35-44,Millennial,0828783850,20526386-9204,5666,2021-02-14
M000248,Michael,Garcia,M,1967-05-10,55+,Gen X,0889941241,63244581-6347,485,2023-08-16
M000249,William,Rodriguez,M,1981-08-07,35-44,Millennial,0834929311,88634827-7227,1404,2025-05-26
M000250,Anthony,Johnson,M,2000-10-25,25-34,Gen Z,0830699187,61002735-3527,6383,2023-06-04
M000251,John,Jones,M,1977-09-14,45-54,Gen X,0846207439,23721268-3170,1430,2022-07-15
M000252,Jennifer,Smith,F,2000-09-11,25-34,Gen Z,0884386123,22490873-6315,6311,2021-05-14
M000253,Margaret,Johnson,F,1970-11-15,55+,Gen X,0886767229,79941466-3778,6237,2022-03-09
M000254,Elizabeth,Davis,F,1997-02-08,25-34,Gen Z,0832442197,68341261-5521,6899,2023-08-26
M000255,William,Jones,M,1990-04-28,35-44,Millennial,0876545476,89699345-4203,7501,2021-03-10
M000256,Richard,Garcia,M,1966-09-07,55+,Gen X,0854230340,69085720-6484,7055,2025-03-10
M000257,Nancy,Lopez,F,1993-07-11,25-34,Millennial,0852168966,33842070-7524,5228,2023-12-23
M000258,Nancy,Wilson,F,1990-09-29,35-44,Millennial,0860473288,47621248-7437,5980,2021-10-07
M000259,Matthew,Wilson,M,1971-03-06,55+,Gen X,0871957885,38138531-8183,4773,2021-07-22
M000260,Linda,Hernandez,F,1986-11-12,35-44,Millennial,0843914361,98404247-3525,6932,2024-02-15
M000261,Nancy,Miller,F,1971-07-03,45-54,Gen X,0866143368,82966824-1602,5890,2025-10-21
