Member_ID,YEAR,YEAR_SORT,TotalSpend,TotalQty,TotalTxn,MaxSaleDate,FirstPurchaseDate,Point_Range,Total_point,GENDER,Generation,MOBILE_NO,FIRST_NAME,LAST_NAME,BIRTHDATE,UUID,Age_Range,Year_End,Mode_ProductCategory,Cumulative_TotalTxn,Active_Years_Count,Cumulative_Last_Txn,LAP_Days,Recency_Text
M000010,2023,2023,0.0,0.0,0.0,,2024-06-08,"5,001+",9560,M,Gen X,845264581,James,Lopez,1970-06-17,88461803-8019,55+,2023-12-31,,0,0,,,Never Purchased
M000010,2024,2024,4250.37,60.0,20.0,2024-12-05,2024-06-08,"5,001+",9560,M,Gen X,845264581,James,Lopez,1970-06-17,88461803-8019,55+,2024-12-31,Dessert,20,1,2024-12-05,26.0,Active
M000010,2025,2025,1319.14,26.0,13.0,2025-03-23,2024-06-08,"5,001+",9560,M,Gen X,845264581,James,Lopez,1970-06-17,88461803-8019,55+,2025-03-28,Sandwich,33,2,2025-03-23,5.0,Active
M000011,2021,2021,0.0,0.0,0.0,,2025-02-13,"5,001+",6916,M,Gen Z,824716857,Christopher,Davis,2001-02-15,30514014-3621,25-34,2021-12-31,,0,0,,,Never Purchased
M000011,2022,2022,0.0,0.0,0.0,,2025-02-13,"5,001+",6916,M,Gen Z,824716857,Christopher,Davis,2001-02-15,30514014-3621,25-34,2022-12-31,,0,0,,,Never Purchased
M000011,2023,2023,0.0,0.0,0.0,,2025-02-13,"5,001+",6916,M,Gen Z,824716857,Christopher,Davis,2001-02-15,30514014-3621,25-34,2023-12-31,,0,0,,,Never Purchased
M000011,2024,2024,0.0,0.0,0.0,,2025-02-13,"5,001+",6916,M,Gen Z,824716857,Christopher,Davis,2001-02-15,30514014-3621,25-34,2024-12-31,,0,0,,,Never Purchased
M000011,2025,2025,142.0,1.0,1.0,2025-03-04,2025-02-13,"5,001+",6916,M,Gen Z,824716857,Christopher,Davis,2001-02-15,30514014-3621,25-34,2025-03-28,Pastry,1,1,2025-03-04,24.0,Active
M000012,2021,2021,0.0,0.0,0.0,,2023-11-11,"5,001+",8797,F,Gen X,884252722,Nancy,Davis,1972-11-10,11540956-2876,45-54,2021-12-31,,0,0,,,Never Purchased
M000012,2022,2022,0.0,0.0,0.0,,2023-11-11,"5,001+",8797,F,Gen X,884252722,Nancy,Davis,1972-11-10,11540956-2876,45-54,2022-12-31,,0,0,,,Never Purchased
M000012,2023,2023,7432.58,68.0,34.0,2023-12-14,2023-11-11,"5,001+",8797,F,Gen X,884252722,Nancy,Davis,1972-11-10,11540956-2876,45-54,2023-12-31,Sandwich,34,1,2023-12-14,17.0,Active
M000012,2024,2024,4477.45,44.0,22.0,2024-12-17,2023-11-11,"5,001+",8797,F,Gen X,884252722,Nancy,Davis,1972-11-10,11540956-2876,45-54,2024-12-31,Dessert,56,2,2024-12-17,14.0,Active
M000012,2025,2025,11079.68,138.0,46.0,2025-03-20,2023-11-11,"5,001+",8797,F,Gen X,884252722,Nancy,Davis,1972-11-10,11540956-2876,45-54,2025-03-28,Beverage,102,3,2025-03-20,8.0,Active
M000013,2021,2021,0.0,0.0,0.0,,2025-02-28,"2,001-5,000",2927,M,Millennial,810435578,Robert,Miller,1995-07-24,45351479-9201,25-34,2021-12-31,,0,0,,,Never Purchased
M000013,2022,2022,0.0,0.0,0.0,,2025-02-28,"2,001-5,000",2927,M,Millennial,810435578,Robert,Miller,1995-07-24,45351479-9201,25-34,2022-12-31,,0,0,,,Never Purchased
M000013,2023,2023,0.0,0.0,0.0,,2025-02-28,"2,001-5,000",2927,M,Millennial,810435578,Robert,Miller,1995-07-24,45351479-9201,25-34,2023-12-31,,0,0,,,Never Purchased
M000013,2024,2024,0.0,0.0,0.0,,2025-02-28,"2,001-5,000",2927,M,Millennial,810435578,Robert,Miller,1995-07-24,45351479-9201,25-34,2024-12-31,,0,0,,,Never Purchased
M000013,2025,2025,3001.11,28.0,14.0,2025-03-08,2025-02-28,"2,001-5,000",2927,M,Millennial,810435578,Robert,Miller,1995-07-24,45351479-9201,25-34,2025-03-28,Sandwich,14,1,2025-03-08,20.0,Active
M000014,2021,2021,0.0,0.0,0.0,,2025-01-20,"5,001+",8837,F,Gen X,830513739,Lisa,Rodriguez,1967-12-09,60185867-3646,55+,2021-12-31,,0,0,,,Never Purchased
M000014,2022,2022,0.0,0.0,0.0,,2025-01-20,"5,001+",8837,F,Gen X,830513739,Lisa,Rodriguez,1967-12-09,60185867-3646,55+,2022-12-31,,0,0,,,Never Purchased
M000014,2023,2023,0.0,0.0,0.0,,2025-01-20,"5,001+",8837,F,Gen X,830513739,Lisa,Rodriguez,1967-12-09,60185867-3646,55+,2023-12-31,,0,0,,,Never Purchased
M000014,2024,2024,0.0,0.0,0.0,,2025-01-20,"5,001+",8837,F,Gen X,830513739,Lisa,Rodriguez,1967-12-09,60185867-3646,55+,2024-12-31,,0,0,,,Never Purchased
M000014,2025,2025,709.0,6.0,3.0,2025-03-10,2025-01-20,"5,001+",8837,F,Gen X,830513739,Lisa,Rodriguez,1967-12-09,60185867-3646,55+,2025-03-28,Merchandise,3,1,2025-03-10,18.0,Active
M000015,2021,2021,0.0,0.0,0.0,,2025-02-03,"2,001-5,000",3946,F,Gen Z,851273847,Sarah,Smith,1998-09-08,42138745-1949,25-34,2021-12-31,,0,0,,,Never Purchased
M000015,2022,2022,0.0,0.0,0.0,,2025-02-03,"2,001-5,000",3946,F,Gen Z,851273847,Sarah,Smith,1998-09-08,42138745-1949,25-34,2022-12-31,,0,0,,,Never Purchased
M000015,2023,2023,0.0,0.0,0.0,,2025-02-03,"2,001-5,000",3946,F,Gen Z,851273847,Sarah,Smith,1998-09-08,42138745-1949,25-34,2023-12-31,,0,0,,,Never Purchased
M000015,2024,2024,0.0,0.0,0.0,,2025-02-03,"2,001-5,000",3946,F,Gen Z,851273847,Sarah,Smith,1998-09-08,42138745-1949,25-34,2024-12-31,,0,0,,,Never Purchased
M000015,2025,2025,203.0,2.0,1.0,2025-03-13,2025-02-03,"2,001-5,000",3946,F,Gen Z,851273847,Sarah,Smith,1998-09-08,42138745-1949,25-34,2025-03-28,Dessert,1,1,2025-03-13,15.0,Active
M000016,2021,2021,0.0,0.0,0.0,,2022-05-17,"5,001+",9007,F,Gen X,827232410,Jennifer,Wilson,1972-01-14,98550256-8787,45-54,2021-12-31,,0,0,,,Never Purchased
M000016,2022,2022,1191.23,5.0,5.0,2022-12-08,2022-05-17,"5,001+",9007,F,Gen X,827232410,Jennifer,Wilson,1972-01-14,98550256-8787,45-54,2022-12-31,Merchandise,5,1,2022-12-08,23.0,Active
M000016,2023,2023,583.74,6.0,3.0,2023-12-10,2022-05-17,"5,001+",9007,F,Gen X,827232410,Jennifer,Wilson,1972-01-14,98550256-8787,45-54,2023-12-31,Pastry,8,2,2023-12-10,21.0,Active
M000016,2024,2024,347.85,6.0,3.0,2024-12-17,2022-05-17,"5,001+",9007,F,Gen X,827232410,Jennifer,Wilson,1972-01-14,98550256-8787,45-54,2024-12-31,Merchandise,11,3,2024-12-17,14.0,Active
M000016,2025,2025,432.63,5.0,5.0,2025-03-02,2022-05-17,"5,001+",9007,F,Gen X,827232410,Jennifer,Wilson,1972-01-14,98550256-8787,45-54,2025-03-28,Dessert,16,4,2025-03-02,26.0,Active
M000017,2021,2021,0.0,0.0,0.0,,2025-08-04,"5,001+",7177,F,Boomer,851837852,Patricia,Rodriguez,1961-12-09,63551839-7118,55+,2021-12-31,,0,0,,,Never Purchased
M000017,2022,2022,0.0,0.0,0.0,,2025-08-04,"5,001+",7177,F,Boomer,851837852,Patricia,Rodriguez,1961-12-09,63551839-7118,55+,2022-12-31,,0,0,,,Never Purchased
M000017,2023,2023,0.0,0.0,0.0,,2025-08-04,"5,001+",7177,F,Boomer,851837852,Patricia,Rodriguez,1961-12-09,63551839-7118,55+,2023-12-31,,0,0,,,Never Purchased
M000017,2024,2024,0.0,0.0,0.0,,2025-08-04,"5,001+",7177,F,Boomer,851837852,Patricia,Rodriguez,1961-12-09,63551839-7118,55+,2024-12-31,,0,0,,,Never Purchased
M000017,2025,2025,1610.88,8.0,8.0,2025-03-16,2025-08-04,"5,001+",7177,F,Boomer,851837852,Patricia,Rodriguez,1961-12-09,63551839-7118,55+,2025-03-28,Merchandise,8,1,2025-03-16,12.0,Active
M000018,2021,2021,0.0,0.0,0.0,,2022-01-03,"5,001+",9641,M,Millennial,888961459,James,Johnson,1985-03-05,84346088-4770,35-44,2021-12-31,,0,0,,,Never Purchased
M000018,2022,2022,2289.54,27.0,9.0,2022-12-21,2022-01-03,"5,001+",9641,M,Millennial,888961459,James,Johnson,1985-03-05,84346088-4770,35-44,2022-12-31,Dessert,9,1,2022-12-21,10.0,Active
M000018,2023,2023,786.06,7.0,7.0,2023-12-04,2022-01-03,"5,001+",9641,M,Millennial,888961459,James,Johnson,1985-03-05,84346088-4770,35-44,2023-12-31,Coffee,16,2,2023-12-04,27.0,Active
M000018,2024,2024,740.45,18.0,9.0,2024-12-23,2022-01-03,"5,001+",9641,M,Millennial,888961459,James,Johnson,1985-03-05,84346088-4770,35-44,2024-12-31,Pastry,25,3,2024-12-23,8.0,Active
M000018,2025,2025,0.0,0.0,0.0,,2022-01-03,"5,001+",9641,M,Millennial,888961459,James,Johnson,1985-03-05,84346088-4770,35-44,2025-03-28,,25,3,2024-12-23,95.0,At Risk
M000019,2021,2021,0.0,0.0,0.0,,2024-04-18,"2,001-5,000",4562,M,Gen Z,819510312,James,Johnson,2003-09-23,79008866-4899,18-24,2021-12-31,,0,0,,,Never Purchased
M000019,2022,2022,0.0,0.0,0.0,,2024-04-18,"2,001-5,000",4562,M,Gen Z,819510312,James,Johnson,2003-09-23,79008866-4899,18-24,2022-12-31,,0,0,,,Never Purchased
M000019,2023,2023,0.0,0.0,0.0,,2024-04-18,"2,001-5,000",4562,M,Gen Z,819510312,James,Johnson,2003-09-23,79008866-4899,18-24,2023-12-31,,0,0,,,Never Purchased
M000019,2024,2024,0.0,0.0,0.0,,2024-04-18,"2,001-5,000",4562,M,Gen Z,819510312,James,Johnson,2003-09-23,79008866-4899,18-24,2024-12-31,,0,0,,,Never Purchased
M000019,2025,2025,883.61,18.0,9.0,2025-03-21,2024-04-18,"2,001-5,000",4562,M,Gen Z,819510312,James,Johnson,2003-09-23,79008866-4899,18-24,2025-03-28,Merchandise,9,1,2025-03-21,7.0,Active
M000020,2021,2021,504.46,6.0,3.0,2021-12-19,2021-02-22,"2,001-5,000",3119,M,Gen X,842614537,Anthony,Martinez,1969-07-20,73481353-7669,55+,2021-12-31,Pastry,3,1,2021-12-19,12.0,Active
M000020,2022,2022,222.22,2.0,2.0,2022-12-02,2021-02-22,"2,001-5,000",3119,M,Gen X,842614537,Anthony,Martinez,1969-07-20,73481353-7669,55+,2022-12-31,Sandwich,5,2,2022-12-02,29.0,Active
M000020,2023,2023,581.5,8.0,4.0,2023-12-03,2021-02-22,"2,001-5,000",3119,M,Gen X,842614537,Anthony,Martinez,1969-07-20,73481353-7669,55+,2023-12-31,Pastry,9,3,2023-12-03,28.0,Active
M000020,2024,2024,127.3,6.0,2.0,2024-12-01,2021-02-22,"2,001-5,000",3119,M,Gen X,842614537,Anthony,Martinez,1969-07-20,73481353-7669,55+,2024-12-31,Pastry,11,4,2024-12-01,30.0,Active
M000020,2025,2025,252.27,3.0,3.0,2025-03-04,2021-02-22,"2,001-5,000",3119,M,Gen X,842614537,Anthony,Martinez,1969-07-20,73481353-7669,55+,2025-03-28,Pastry,14,5,2025-03-04,24.0,Active
M000021,2021,2021,0.0,0.0,0.0,,2024-12-11,"501-1,000",993,F,Gen X,817270733,Susan,Miller,1979-07-21,97705310-2612,45-54,2021-12-31,,0,0,,,Never Purchased
M000021,2022,2022,0.0,0.0,0.0,,2024-12-11,"501-1,000",993,F,Gen X,817270733,Susan,Miller,1979-07-21,97705310-2612,45-54,2022-12-31,,0,0,,,Never Purchased
M000021,2023,2023,0.0,0.0,0.0,,2024-12-11,"501-1,000",993,F,Gen X,817270733,Susan,Miller,1979-07-21,97705310-2612,45-54,2023-12-31,,0,0,,,Never Purchased
M000021,2024,2024,2116.94,16.0,8.0,2024-12-28,2024-12-11,"501-1,000",993,F,Gen X,817270733,Susan,Miller,1979-07-21,97705310-2612,45-54,2024-12-31,Sandwich,8,1,2024-12-28,3.0,Active
M000021,2025,2025,878.21,18.0,9.0,2025-03-19,2024-12-11,"501-1,000",993,F,Gen X,817270733,Susan,Miller,1979-07-21,97705310-2612,45-54,2025-03-28,Sandwich,17,2,2025-03-19,9.0,Active
M000022,2021,2021,0.0,0.0,0.0,,2023-08-08,"2,001-5,000",3006,M,Millennial,870211891,James,Brown,1993-06-12,28814949-7912,25-34,2021-12-31,,0,0,,,Never Purchased
M000022,2022,2022,0.0,0.0,0.0,,2023-08-08,"2,001-5,000",3006,M,Millennial,870211891,James,Brown,1993-06-12,28814949-7912,25-34,2022-12-31,,0,0,,,Never Purchased
M000022,2023,2023,755.38,4.0,4.0,2023-12-14,2023-08-08,"2,001-5,000",3006,M,Millennial,870211891,James,Brown,1993-06-12,28814949-7912,25-34,2023-12-31,Coffee,4,1,2023-12-14,17.0,Active
M000022,2024,2024,1430.48,5.0,5.0,2024-12-09,2023-08-08,"2,001-5,000",3006,M,Millennial,870211891,James,Brown,1993-06-12,28814949-7912,25-34,2024-12-31,Merchandise,9,2,2024-12-09,22.0,Active
M000022,2025,2025,344.53,3.0,3.0,2025-03-11,2023-08-08,"2,001-5,000",3006,M,Millennial,870211891,James,Brown,1993-06-12,28814949-7912,25-34,2025-03-28,Beverage,12,3,2025-03-11,17.0,Active
M000023,2021,2021,105.71,1.0,1.0,2021-12-18,2021-04-06,201-500,241,M,Gen X,816789850,Thomas,Wilson,1971-01-28,97529405-9856,55+,2021-12-31,Dessert,1,1,2021-12-18,13.0,Active
M000023,2022,2022,545.12,4.0,2.0,2022-12-07,2021-04-06,201-500,241,M,Gen X,816789850,Thomas,Wilson,1971-01-28,97529405-9856,55+,2022-12-31,Beverage,3,2,2022-12-07,24.0,Active
M000023,2023,2023,528.99,2.0,2.0,2023-12-07,2021-04-06,201-500,241,M,Gen X,816789850,Thomas,Wilson,1971-01-28,97529405-9856,55+,2023-12-31,Sandwich,5,3,2023-12-07,24.0,Active
M000023,2024,2024,303.29,4.0,2.0,2024-12-21,2021-04-06,201-500,241,M,Gen X,816789850,Thomas,Wilson,1971-01-28,97529405-9856,55+,2024-12-31,Coffee,7,4,2024-12-21,10.0,Active
M000023,2025,2025,0.0,0.0,0.0,,2021-04-06,201-500,241,M,Gen X,816789850,Thomas,Wilson,1971-01-28,97529405-9856,55+,2025-03-28,,7,4,2024-12-21,97.0,At Risk
M000024,2021,2021,0.0,0.0,0.0,,2024-05-26,1-50,35,F,Millennial,817869910,Sarah,Davis,1992-08-20,32097220-7209,25-34,2021-12-31,,0,0,,,Never Purchased
M000024,2022,2022,0.0,0.0,0.0,,2024-05-26,1-50,35,F,Millennial,817869910,Sarah,Davis,1992-08-20,32097220-7209,25-34,2022-12-31,,0,0,,,Never Purchased
M000024,2023,2023,0.0,0.0,0.0,,2024-05-26,1-50,35,F,Millennial,817869910,Sarah,Davis,1992-08-20,32097220-7209,25-34,2023-12-31,,0,0,,,Never Purchased
M000024,2024,2024,1584.98,18.0,9.0,2024-12-23,2024-05-26,1-50,35,F,Millennial,817869910,Sarah,Davis,1992-08-20,32097220-7209,25-34,2024-12-31,Merchandise,9,1,2024-12-23,8.0,Active
M000024,2025,2025,2062.39,24.0,8.0,2025-03-02,2024-05-26,1-50,35,F,Millennial,817869910,Sarah,Davis,1992-08-20,32097220-7209,25-34,2025-03-28,Dessert,17,2,2025-03-02,26.0,Active
M000025,2021,2021,0.0,0.0,0.0,,2023-04-02,"2,001-5,000",3111,F,Boomer,898834863,Elizabeth,Miller,1961-06-10,75319931-3536,55+,2021-12-31,,0,0,,,Never Purchased
M000025,2022,2022,0.0,0.0,0.0,,2023-04-02,"2,001-5,000",3111,F,Boomer,898834863,Elizabeth,Miller,1961-06-10,75319931-3536,55+,2022-12-31,,0,0,,,Never Purchased
M000025,2023,2023,2276.89,20.0,10.0,2023-12-05,2023-04-02,"2,001-5,000",3111,F,Boomer,898834863,Elizabeth,Miller,1961-06-10,75319931-3536,55+,2023-12-31,Dessert,10,1,2023-12-05,26.0,Active
M000025,2024,2024,2318.53,24.0,8.0,2024-12-05,2023-04-02,"2,001-5,000",3111,F,Boomer,898834863,Elizabeth,Miller,1961-06-10,75319931-3536,55+,2024-12-31,Merchandise,18,2,2024-12-05,26.0,Active
M000025,2025,2025,0.0,0.0,0.0,,2023-04-02,"2,001-5,000",3111,F,Boomer,898834863,Elizabeth,Miller,1961-06-10,75319931-3536,55+,2025-03-28,,18,2,2024-12-05,113.0,At Risk
M000026,2021,2021,0.0,0.0,0.0,,2022-01-17,"5,001+",8701,M,Gen Z,888406989,Anthony,Garcia,2003-02-14,73993471-9238,18-24,2021-12-31,,0,0,,,Never Purchased
